,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,225,1424368800,225,225,225,0.00444444,0.999999,225
1,244,1424376000,244,225,225,0.18867125,45.27587691,239.97231644
2,244,1424383200,244,244,244,1.79e-06,0.00043676,244
3,244,1424390400,244,244,244,0,0,244
4,244,1424397600,244,244,244,0,0,244
5,244,1424404800,244,244,244,0,0,244
6,240.25011568,1424412000,240.25011809,240.25011568,240.25011809,0.044,10.57100509,240.25011569
7,245,1424419200,245,244,244,0.1164588,28.51345643,244.8372852
8,240.25,1424426400,240.25018557,240.25,240.25018557,0.06997055,16.81043548,240.25015505
9,240.25,1424433600,240.25,240.25,240.25,0,0,240.25
10,240.25,1424440800,240.25,240.25,240.25,0,0,240.25
11,240.25,1424448000,240.25,240.25,240.25,0,0,240.25
12,240.25,1424455200,240.25,240.25,240.25,0,0,240.25
13,240.25,1424462400,240.25,240.25,240.25,0,0,240.25
14,240.25,1424469600,240.25,240.25,240.25,0,0,240.25
15,240.25,1424476800,240.25,240.25,240.25,0,0,240.25
16,240.25,1424484000,240.25,240.25,240.25,0,0,240.25
17,240.25,1424491200,240.25,240.25,240.25,0,0,240.25
18,240.25,1424498400,240.25,240.25,240.25,0,0,240.25
19,240.25,1424505600,240.25,240.25,240.25,0,0,240.25
20,240.25,1424512800,240.25,240.25,240.25,0,0,240.25
21,240.25,1424520000,240.25,240.25,240.25,0,0,240.25
22,240.25,1424527200,240.25,240.25,240.25,0,0,240.25
23,240.25,1424534400,240.25,240.25,240.25,0,0,240.25
24,245,1424541600,245,245,245,0.06009077,14.72223865,245
25,245,1424548800,245,245,245,0,0,245
26,245,1424556000,245,245,245,0,0,245
27,245,1424563200,245,245,245,0.0102,2.499,245
28,249,1424570400,249,249,249,0.01001607,2.49400143,249
29,249,1424577600,249,249,249,0,0,249
30,249,1424584800,249,249,249,0,0,249
31,245,1424592000,245,245,245,0.01819196,4.4570302,245
32,245,1424599200,245,245,245,0,0,245
33,245,1424606400,245,245,245,0,0,245
34,244,1424613600,245.00001722,244,245.00001722,0.20900653,51.03221976,244.1656716
35,244,1424620800,244,244,244,0,0,244
36,235.5,1424628000,235.50000711,235.5,235.50000711,0.20695862,48.73875501,235.5
37,235.001,1424635200,235.001,235.001,235.001,0.00416202,0.97807886,235.001
38,235,1424642400,235.001,235,235.00000472,0.08051979,18.92216258,235.00014822
39,235.001,1424649600,235.001,235,235.00000236,0.19435177,45.6726909,235.00012841
40,235,1424656800,235.00001888,235,235.00001888,0.20457834,48.07591027,235.00000183
41,235,1424664000,235,235,235,0,0,235
42,235.00002596,1424671200,235.00002596,235.00002596,235.00002596,0.00017756,0.0417266,235.00002596
43,235.00002596,1424678400,235.00002596,235.00002596,235.00002596,0,0,235.00002596
44,235.00002596,1424685600,235.00002596,235.00002596,235.00002596,0,0,235.00002596
45,235.00002596,1424692800,235.00002596,235.00002596,235.00002596,0,0,235.00002596
46,235.00002596,1424700000,235.00002596,235.00002596,235.00002596,0,0,235.00002596
47,235.00002596,1424707200,235.00002596,235.00002596,235.00002596,0,0,235.00002596
48,235.00002596,1424714400,235.00002596,235.00002596,235.00002596,0,0,235.00002596
49,235.00002596,1424721600,235.00002596,235.00002596,235.00002596,0,0,235.00002596
50,235,1424728800,235,235,235,0.01181802,2.7772347,235
51,235,1424736000,235,235,235,0.00399473,0.93876155,235
52,235,1424743200,235,235,235,0,0,235
53,235,1424750400,235,235,235,0,0,235
54,235,1424757600,235,235,235,0,0,235
55,235,1424764800,235,235,235,0,0,235
56,235,1424772000,235,235,235,0,0,235
57,238.00003776,1424779200,238.00003776,238.00003776,238.00003776,0.0704908,16.77681306,238.00003776
58,238.00003776,1424786400,238.00003776,238.00003776,238.00003776,0,0,238.00003776
59,238.00003776,1424793600,238.00003776,238.00003776,238.00003776,0,0,238.00003776
60,238.00003776,1424800800,238.00003776,238.00003776,238.00003776,0.55216987,131.4164499,238.00003776
61,238.00003776,1424808000,238.00003776,238.00003776,238.00003776,0,0,238.00003776
62,239.75,1424815200,239.75,239.75,239.75,9.33e-05,0.02236867,239.75
63,239.75,1424822400,239.75,239.75,239.75,0,0,239.75
64,239.75,1424829600,239.75,239.75,239.75,0,0,239.75
65,239.75,1424836800,239.75,239.75,239.75,0,0,239.75
66,239.75,1424844000,239.75,239.75,239.75,0,0,239.75
67,239.75,1424851200,239.75,239.75,239.75,0,0,239.75
68,237.75,1424858400,239.75,237.75,239.75,0.92755033,221.58409525,238.89172165
69,237.75,1424865600,237.75,237.75,237.75,0,0,237.75
70,237.75,1424872800,237.75,237.75,237.75,0,0,237.75
71,237.75,1424880000,237.75,237.75,237.75,0,0,237.75
72,237.75,1424887200,237.75,237.75,237.75,0,0,237.75
73,237.75,1424894400,237.75,237.75,237.75,0,0,237.75
74,237.75,1424901600,237.75,237.75,237.75,0,0,237.75
75,237.75,1424908800,237.75,237.75,237.75,0,0,237.75
76,237.75,1424916000,237.75,237.75,237.75,0,0,237.75
77,237.75,1424923200,237.75,237.75,237.75,0,0,237.75
78,237.75,1424930400,237.75,237.75,237.75,0,0,237.75
79,237.75,1424937600,237.75,237.75,237.75,0,0,237.75
80,237.75,1424944800,237.75,237.75,237.75,1.284e-05,0.00305271,237.75
81,237.75,1424952000,237.75,237.75,237.75,0,0,237.75
82,239.79999999,1424959200,239.79999999,237.75,237.75,0.00051594,0.12346224,239.29574465
83,239.79999999,1424966400,239.79999999,239.79999999,239.79999999,0,0,239.79999999
84,238.5,1424973600,238.5,238.5,238.5,0.00012148,0.02897298,238.5
85,238.5,1424980800,238.5,238.5,238.5,0,0,238.5
86,238.5,1424988000,238.5,238.5,238.5,0,0,238.5
87,238.5,1424995200,238.5,238.5,238.5,0,0,238.5
88,248.6,1425002400,248.6,238.49999999,238.49999999,1.50970167,364.20836166,241.24525321
89,239,1425009600,239,239,239,0.00061314,0.14654046,239
90,239,1425016800,239,239,239,0,0,239
91,249,1425024000,249,239,239,0.00871082,2.12450398,243.89253594
92,249,1425031200,249,249,249,0,0,249
93,249,1425038400,249,249,249,0,0,249
94,239,1425045600,249,239,249,0.02320042,5.62000078,242.2370276
95,239,1425052800,239,239,239,0,0,239
96,249,1425060000,249,249,249,0.04681131,11.65601619,249
97,249,1425067200,249,249,249,0,0,249
98,249,1425074400,249,249,249,0,0,249
99,249,1425081600,249,249,249,0,0,249
100,240,1425088800,240,240,240,8.302e-05,0.0199248,240
101,240,1425096000,240,240,240,0,0,240
102,240,1425103200,240,240,240,0,0,240
103,240,1425110400,240,240,240,0,0,240
104,240,1425117600,240,240,240,0,0,240
105,240,1425124800,240,240,240,0.05030918,12.0742032,240
106,240,1425132000,240,240,240,0,0,240
