,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,0.099,1424138400,0.099,0.01,0.01,12.2630202,0.99999999,0.08154597
1,0.099,1424145600,0.099,0.099,0.099,0,0,0.099
2,0.099,1424152800,0.099,0.099,0.099,0,0,0.099
3,0.099,1424160000,0.099,0.099,0.099,0,0,0.099
4,0.099,1424167200,0.099,0.099,0.099,0,0,0.099
5,0.099,1424174400,0.099,0.099,0.099,0,0,0.099
6,0.099,1424181600,0.099,0.099,0.099,0,0,0.099
7,0.099,1424188800,0.099,0.099,0.099,0,0,0.099
8,0.099,1424196000,0.099,0.099,0.099,0,0,0.099
9,0.099,1424203200,0.099,0.099,0.099,0,0,0.099
10,0.099,1424210400,0.099,0.099,0.099,0,0,0.099
11,0.099,1424217600,0.099,0.099,0.099,0,0,0.099
12,0.099,1424224800,0.099,0.099,0.099,0,0,0.099
13,0.099,1424232000,0.099,0.099,0.099,0,0,0.099
14,0.099,1424239200,0.099,0.099,0.099,0,0,0.099
15,0.099,1424246400,0.099,0.099,0.099,0,0,0.099
16,0.099,1424253600,0.099,0.099,0.099,0,0,0.099
17,0.099,1424260800,0.099,0.099,0.099,0,0,0.099
18,0.099,1424268000,0.099,0.099,0.099,0,0,0.099
19,0.099,1424275200,0.099,0.099,0.099,0,0,0.099
20,0.099,1424282400,0.099,0.099,0.099,0,0,0.099
21,0.099,1424289600,0.099,0.099,0.099,0,0,0.099
22,0.099,1424296800,0.099,0.099,0.099,0,0,0.099
23,0.099,1424304000,0.099,0.099,0.099,0,0,0.099
24,0.099,1424311200,0.099,0.099,0.099,0,0,0.099
25,0.099,1424318400,0.099,0.099,0.099,0,0,0.099
26,0.099,1424325600,0.099,0.099,0.099,0,0,0.099
27,0.099,1424332800,0.099,0.099,0.099,0,0,0.099
28,0.099,1424340000,0.099,0.099,0.099,0,0,0.099
29,0.099,1424347200,0.099,0.099,0.099,0,0,0.099
30,0.099,1424354400,0.099,0.099,0.099,0,0,0.099
31,0.099,1424361600,0.099,0.099,0.099,0,0,0.099
32,0.099,1424368800,0.099,0.099,0.099,0,0,0.099
33,0.26,1424376000,0.35,0.08859999,0.08859999,171.26271733,41.33539834,0.24135666
34,0.26000001,1424383200,0.26000001,0.26000001,0.26000001,0.00168322,0.00043763,0.26000001
35,0.26000001,1424390400,0.26000001,0.26000001,0.26000001,0,0,0.26000001
36,0.26000001,1424397600,0.26000001,0.26000001,0.26000001,0.3,0.078,0.26000001
37,0.26000001,1424404800,0.26000001,0.26000001,0.26000001,0,0,0.26000001
38,0.26000001,1424412000,0.26000001,0.26000001,0.26000001,0,0,0.26000001
39,0.26,1424419200,0.26000001,0.26,0.26000001,109.95998872,28.58959716,0.26
40,0.25,1424426400,0.25,0.25,0.25,0.63026541,0.15756635,0.25
41,0.25,1424433600,0.25,0.25,0.25,0,0,0.25
42,0.25,1424440800,0.25,0.25,0.25,0.06950499,0.01737624,0.25
43,0.25,1424448000,0.25,0.25,0.25,0,0,0.25
44,0.25,1424455200,0.25,0.25,0.25,0,0,0.25
45,0.25,1424462400,0.25,0.25,0.25,0.01469741,0.00367435,0.25
46,0.25,1424469600,0.25,0.25,0.25,0,0,0.25
47,0.25,1424476800,0.25,0.25,0.25,0,0,0.25
48,0.25,1424484000,0.25,0.25,0.25,0,0,0.25
49,0.25,1424491200,0.25,0.25,0.25,0,0,0.25
50,0.25,1424498400,0.25,0.25,0.25,0,0,0.25
51,0.25,1424505600,0.25,0.25,0.25,0,0,0.25
52,0.25,1424512800,0.25,0.25,0.25,0,0,0.25
53,0.25,1424520000,0.25,0.25,0.25,0,0,0.25
54,0.25,1424527200,0.25,0.25,0.25,0,0,0.25
55,0.25,1424534400,0.25,0.25,0.25,0,0,0.25
56,0.25,1424541600,0.25,0.25,0.25,0,0,0.25
57,0.25,1424548800,0.25,0.25,0.25,0,0,0.25
58,0.25,1424556000,0.25,0.25,0.25,0,0,0.25
59,0.25,1424563200,0.25,0.25,0.25,0,0,0.25
60,0.25,1424570400,0.25,0.25,0.25,0,0,0.25
61,0.25,1424577600,0.25,0.25,0.25,0,0,0.25
62,0.25,1424584800,0.25,0.25,0.25,0,0,0.25
63,0.32,1424592000,0.32,0.27,0.27,14.75851639,4.44512305,0.30119037
64,0.32,1424599200,0.32,0.32,0.32,0,0,0.32
65,0.32,1424606400,0.32,0.32,0.32,0,0,0.32
66,0.32,1424613600,0.32,0.32,0.32,0,0,0.32
67,0.32,1424620800,0.32,0.32,0.32,0,0,0.32
68,0.32,1424628000,0.32,0.32,0.32,0,0,0.32
69,0.32,1424635200,0.32,0.32,0.32,0,0,0.32
